vintage_name|wine_name|year|region|bodega|varietal_name|grape_varieties|price|acidity|intensity|sweetness|tannin|wine_ratings_count|wine_ratings_average|red/white
Bodegas Exopto Exopto Tinto 2019|Exopto Tinto|2019|Rioja|Bodegas Exopto|Tinto de Rioja|Tempranillo, Graciano, Garnacha|27.0|3.9349108|3.991408|1.8743957|3.995089|444|4.1|white
Bodegas Exopto Exopto Tinto 2021|Exopto Tinto|2021|Rioja|Bodegas Exopto|Tinto de Rioja|Tempranillo, Graciano, Garnacha|27.0|3.9349108|3.991408|1.8743957|3.995089|444|4.1|white
Contino Reserva 2019|Reserva|2019|Rioja|Contino|Tinto de Rioja|Tempranillo, Graciano, Garnacha|27.95|3.7232838|3.8002493|1.788573|3.6008513|9817|4.1|white
Resalte Origen de Resalte 2018|Origen de Resalte|2018|Ribera del Duero|Resalte|Tinto de Ribera del Duero|Tempranillo|32.4|3.631355|3.9299657|1.8693074|3.6666932|3271|4.1|white
Teso La Monja Almiréz 2021|Almiréz|2021|Toro|Teso La Monja|Tinto de Toro|Tempranillo|19.45|2.7463348|4.3603997|1.689049|3.4335227|15228|4.0|white
Huerta de Albala Taberner Tierra de Cádiz 2017|Taberner Tierra de Cádiz|2017|Cádiz|Huerta de Albala|Syrah|Shiraz/Syrah|21.6|3.1118257|3.9992607|1.8428209|3.636817|7249|4.2|white
Marques de Vargas Reserva 2018|Reserva|2018|Rioja|Marques de Vargas|Tinto de Rioja|Tempranillo, Graciano, Garnacha|23.75|3.733262|3.8004475|1.6545931|3.6774395|8708|4.0|white
Familia Torres Salmos 2019|Salmos|2019|Priorato|Familia Torres|Tinto de Priorat|Shiraz/Syrah, Cabernet Sauvignon, Grenache., Carignan|25.48|3.4735708|4.75982|1.7301874|3.23749|23019|4.1|white
De Nariz De Nariz Monastrell 2019|De Nariz Monastrell|2019|Yecla|De Nariz|Monastrell|Monastrell|37.6|3.3207912|3.6065993|2.0465739|3.5217843|1104|4.1|white
Bodegas Mas Alta Els Pics 2020|Els Pics|2020|Priorato|Bodegas Mas Alta|Tinto de Priorat|Shiraz/Syrah, Cabernet Sauvignon, Grenache., Carignan|18.3|3.4082735|4.5841136|1.8566006|3.2157078|7537|4.0|white
EGO Goru 18 M 2018|Goru 18 M|2018|Jumilla|EGO|Tinto|Grenache., Tempranillo|30.55|3.0763807|4.076907|1.8574721|3.0474892|3778|4.0|white
Finca La Capilla La Capilla Crianza 2019|La Capilla Crianza|2019|Ribera del Duero|Finca La Capilla|Tinto de Ribera del Duero|Tempranillo|15.9|3.652289|3.7906992|1.598337|3.6633887|3571|4.0|white
Sierra Cantabria Reserva 2015|Reserva|2015|Rioja|Sierra Cantabria|Tinto de Rioja|Tempranillo, Graciano, Garnacha|18.8|3.8123863|3.8007247|1.6598037|3.767655|4668|3.9|white
Lan Viña Lanciano Reserva 2016|Viña Lanciano Reserva|2016|Rioja|Lan|Tinto de Rioja|Tempranillo, Graciano, Garnacha|15.57|3.7078462|3.8425195|1.8182205|3.712551|5010|4.0|white
Mikaela Bobal 2020|Bobal|2020|Castilla|Mikaela|Tinto|Grenache., Tempranillo|28.5|3.2451923|3.9874918|2.231661|2.9012542|418|4.1|white
Atalaya La Atalaya del Camino 2021|La Atalaya del Camino|2021|Almansa|Atalaya|Tinto|Grenache., Tempranillo|12.25|3.0587146|4.1940045|2.160834|3.216869|17698|4.1|white
Valtravieso Crianza 2020|Crianza|2020|Ribera del Duero|Valtravieso|Tinto de Ribera del Duero|Tempranillo|15.65|3.6449738|3.8408508|1.7982281|3.4620962|9278|3.8|white
Villota Tinto 2021|Tinto|2021|Rioja Alavesa|Villota|Tinto de Rioja|Tempranillo, Graciano, Garnacha|20.3|3.3229353|3.7856548|1.7381357|3.5875807|412|4.1|white
