vintage_name|wine_name|year|region|bodega|varietal_name|grape_varieties|price|acidity|intensity|sweetness|tannin|wine_ratings_count|wine_ratings_average|red/white
Autòcton Celler Gran Autòcton Blanc 2020|Gran Autòcton Blanc|2020|Penedès|Autòcton Celler|White|Xarel-lo, Malvasía|17.2|3.0|3.0|1.0||221|4.0|w
Faustino Rivero Ulecia Albariño 2023|Albariño|2023|Rías Baixas|Faustino Rivero Ulecia|Albariño|Albariño|14.95|3.619757|1.6243688|1.5814396||11827|4.0|w
El Castilla Viura - Chardonnay 2022|Viura - Chardonnay|2022|Vino de España|El Castilla|White|Viura, Chardonnay|8.95|2.8317347|3.257823|2.123027||2140|4.0|w
Clos Pons Roc de Foc 2014|Roc de Foc|2014|Costers del Segre|Clos Pons|White|Macabeo|21.7|3.0|3.0|1.0||216|4.0|w
Emilio Moro El Zarzal Godello 2022|El Zarzal Godello|2022|Bierzo|Emilio Moro|White|Godello|14.75|3.058942|3.065353|1.1261965||3471|4.0|w
Bodega la Tapada - Guitian Sobre Lías Godello 2021|Sobre Lías Godello|2021|Valdeorras|Bodega la Tapada - Guitian|Godello|Godello|18.76|4.0|3.0|1.0||2269|3.8|w
Valdecuevas Sauvignon Blanc 2023|Sauvignon Blanc|2023|Rueda|Valdecuevas|Sauvignon Blanc|Sauvignon Blanc|7.99|4.032785|2.62|1.229367||210|4.0|w
Cota 45 UBE de Ubérrima  Miraflores 2022|UBE de Ubérrima  Miraflores|2022|Vino de España|Cota 45|White|Palomino|20.7|3.3746636|3.0265918|1.0190134||1971|4.0|w
Tayaimgut Per Si Sol Sauvignon Blanc 2020|Per Si Sol Sauvignon Blanc|2020|Penedès|Tayaimgut|Sauvignon Blanc|Sauvignon Blanc|18.14|4.1314416|2.8450449|1.1801802||210|4.0|w
Dominio do Bibei Lalume 2019|Lalume|2019|Ribeiro|Dominio do Bibei|White|Treixadura|17.25|3.1563942|3.241813|1.225259||2285|4.1|w
Barco del Corneta Verdejo 2018|Verdejo|2018|Castilla y León|Barco del Corneta|Verdejo|Verdejo|18.5|3.296799|2.513005|2.309296||1461|3.9|w
Baluarte Muscat 2022|Muscat|2022|Navarra|Baluarte|White|Muscat|6.9|2.8872619|3.2795236|2.082262||4390|4.2|w
Dominio do Bibei Lalume 2020|Lalume|2020|Ribeiro|Dominio do Bibei|White|Treixadura|18.0|3.1563942|3.241813|1.225259||2285|4.1|w
