vintage_name|wine_name|year|region|bodega|varietal_name|grape_names|price|acidity|fizziness|intensity|sweetness|tannin|ratings_count|ratings_average|wine_ratings_count|wine_ratings_average
Mustiguillo Margas Finca Calvestra Merseguera 2017|Margas Finca Calvestra Merseguera|2017|Valencia|Mustiguillo|White||43.0|3.0||3.0|1.0||53|4.3|53|4.3
Mustiguillo Margas Finca Calvestra Merseguera 2019|Margas Finca Calvestra Merseguera|2019|Valencia|Mustiguillo|White||47.5|3.0||3.0|1.0||53|4.3|53|4.3
Do Ferreiro (Bodegas Gerardo Mendez) Cepas Vellas Rias Baixas Albariño 2022|Cepas Vellas Rias Baixas Albariño|2022|Rías Baixas|Do Ferreiro (Bodegas Gerardo Mendez)|Albariño|Albariño|39.0|3.5982127||1.996619|1.7168016||49|4.3|2126|4.3
Gómez Cruzado Montes Obarenes Selección Terroir 2021|Montes Obarenes Selección Terroir|2021|Rioja|Gómez Cruzado|Blanco de Rioja|Viura|42.5|3.2361434||4.326553|2.0172837||49|4.3|1237|4.3
Bodegas Mas Alta La Galera 2019|La Galera|2019|Priorato|Bodegas Mas Alta|White||46.5|3.0166388||3.0831933|2.597311||47|4.3|59|4.3
Bodegas San Román Malvasia 2019|Malvasia|2019|Castilla|Bodegas San Román|White||42.53|2.2010205||3.0|1.2012244||44|4.3|342|4.2
Territorio Luthier Clarete de Guarda 2020|Clarete de Guarda|2020|Ribera del Duero|Territorio Luthier|White||38.0|3.0||3.0|1.0||44|4.3|44|4.3
Pazo Señorans Tras Los Muros Albariño 2020|Tras Los Muros Albariño|2020|Rías Baixas|Pazo Señorans|Albariño|Albariño|39.88|3.6630597||2.4080389|1.9847149||43|4.3|219|4.3
Mas d'en Gil Coma Blanca Priorat 2018|Coma Blanca Priorat|2018|Priorato|Mas d'en Gil|White||43.0|3.2470002||3.164|1.102||43|4.3|820|4.1
Pepe Mendoza Casa Agrícola Moscatel Origen 2019|Moscatel Origen|2019|Alicante|Pepe Mendoza Casa Agrícola|White||28.0|2.7040815||3.047347|2.722245||40|4.3|40|4.3
Pittacum La Maragata Godello Blanco de Guarda 2019|La Maragata Godello Blanco de Guarda|2019|Bierzo|Pittacum|White||45.0|3.0979364||3.214762|2.4526982||38|4.3|39|4.3
Jesus Madrazo Ermita de San Gregorio Blanco Reserva 2020|Ermita de San Gregorio Blanco Reserva|2020|Rioja|Jesus Madrazo|Blanco de Rioja|Viura|22.7|3.0||3.75|2.25||38|4.3|50|4.4
Pazo de Rubianes 1411 Albariño 2020|1411 Albariño|2020|Rías Baixas|Pazo de Rubianes|Albariño|Albariño|31.1|3.5703623||2.0810766|1.7212526||37|4.3|568|4.4
Cillar de Silos Dominio del Pidio Albillo 2022|Dominio del Pidio Albillo|2022|Ribera del Duero|Cillar de Silos|White||45.23|3.7||3.4|1.25||36|4.3|559|4.3
Quinta da Muradella Origen-02 2015|Origen-02|2015|Monterrei|Quinta da Muradella|White||31.1|3.4199996||3.2050004|1.405||36|4.3|43|4.2
Masos Mas de La Mona Chardonnay 2022|Mas de La Mona Chardonnay|2022|Alicante|Masos|Chardonnay|Chardonnay|27.85|2.789||3.1336665|1.5523334||34|4.3|34|4.3
Bodega Contador (Benjamín Romeo) Pirata 2018|Pirata|2018|Rioja|Bodega Contador (Benjamín Romeo)|Blanco de Rioja|Viura|48.83|3.036887||4.411038|1.8115095||32|4.3|173|4.4
Losada Godello 2023|Godello|2023|Bierzo|Losada|White||15.45|3.6902013||3.2967818|1.4329885||31|4.3|2057|4.1
Can Ràfols dels Caus El Rocallís 2019|El Rocallís|2019|Cataluña|Can Ràfols dels Caus|White||44.0|3.0||2.911712|1.688919||31|4.3|1072|4.2
Bernardo Estévez Chánselus Castes Brancas 2021|Chánselus Castes Brancas|2021|Ribeiro|Bernardo Estévez|White||31.9|3.2914286||3.5664284|1.8078572||30|4.3|515|4.3
A Coroa 200 Cestos Godello 2022|200 Cestos Godello|2022|Valdeorras|A Coroa|Godello|Godello|28.28|3.9839535||3.0962791|1.0||28|4.3|768|4.2
Bodega Campo Eliseo Campo Eliseo Blanco 2020|Campo Eliseo Blanco|2020|Rueda|Bodega Campo Eliseo|Verdejo|Verdejo|25.13|3.3148446||2.7488446|2.1853778||27|4.3|370|4.2
Fefiñanes Albariño de Fefiñanes III Año 2021|Albariño de Fefiñanes III Año|2021|Rías Baixas|Fefiñanes|Albariño|Albariño|37.45|3.6988382||2.0740845|1.7948577||27|4.3|1994|4.2
Luzon Mina de Oro Viognier 2022|Mina de Oro Viognier|2022|Jumilla|Luzon|White||17.16|3.0||3.0|1.0||27|4.3|203|4.1
