vintage_name|wine_name|year|region|bodega|varietal_name|grape_varieties|price|acidity|intensity|sweetness|tannin|wine_ratings_count|wine_ratings_average|red/white
La Vinyeta Puntiapart 2019|Puntiapart|2019|Empordà|La Vinyeta|Tinto|Grenache., Tempranillo|12.42|3.069322|3.9917471|2.1920884|3.2294703|2659|3.8|white
Fernández de Piérola Crianza 2020|Crianza|2020|Rioja|Fernández de Piérola|Tinto de Rioja|Tempranillo, Graciano, Garnacha|10.9|3.638611|3.6139355|1.9035884|3.6266327|8332|3.7|white
Monte Real Reserva de Familia 2019|Reserva de Familia|2019|Rioja|Monte Real|Tinto de Rioja|Tempranillo, Graciano, Garnacha|11.5|3.4046986|3.609054|2.179704|3.4988256|3065|3.9|white
Viña Somoza Alma Do Vello Tesouro Viñedos En Rubia Albarello 2021|Alma Do Vello Tesouro Viñedos En Rubia Albarello|2021|Valdeorras|Viña Somoza|Tinto|Grenache., Tempranillo|38.2|3.0622792|3.5218606|1.4623256|2.9064186|124|4.0|white
Castillo Perelada Amfitrió de l'Empordà 2022|Amfitrió de l'Empordà|2022|Empordà|Castillo Perelada|Tinto|Grenache., Tempranillo|14.9|2.9458952|3.221599|2.614081|3.028807|124|4.0|white
Ca N'Estruc L'Equilibrista Garnatxa 2016|L'Equilibrista Garnatxa|2016|Cataluña|Ca N'Estruc|Grenache.|Grenache.|19.25|3.1531904|3.998634|1.7996367|3.0623329|1689|3.8|white
Abadia de Poblet El Tossal de la Salut 2016|El Tossal de la Salut|2016|Conca de Barberà|Abadia de Poblet|Grenache.|Grenache.|39.5|3.21607|3.5876842|1.8009474|2.8198948|191|4.1|white
Rupestre de Alpera Reserve Garnacha Tintorera 2018|Reserve Garnacha Tintorera|2018|Almansa|Rupestre de Alpera|Tinto|Grenache., Tempranillo|12.75|3.1403005|4.095082|2.376202|3.1878688|122|4.0|white
Marques del Atrio Edición Limitada Crianza 2019|Edición Limitada Crianza|2019|Rioja|Marques del Atrio|Tinto de Rioja|Tempranillo, Graciano, Garnacha|15.9|3.2134852|3.7165308|2.136028|3.3804393|122|4.0|white
Josep Grau Viticultor Vespres 2022|Vespres|2022|Montsant|Josep Grau Viticultor|Tinto de Montsant|Shiraz/Syrah, Cabernet Sauvignon, Cariñena, Garnacha|15.25|3.337774|4.09438|1.6986251|3.2171683|2493|3.9|white
Artuke Finca de los Locos Rioja 2021|Finca de los Locos Rioja|2021|Rioja|Artuke|Tinto de Rioja|Tempranillo, Graciano, Garnacha|19.08|3.785611|3.8456311|1.8287251|3.7795675|1799|3.9|white
Dehesa El Carrascal Mar García 2020|Mar García|2020|Almansa|Dehesa El Carrascal|Grenache.|Grenache.|7.6|3.032|4.360607|2.1130714|2.9774463|721|4.1|white
Hacienda López de Haro San Vicente de la Sonsierra 2020|San Vicente de la Sonsierra|2020|Rioja|Hacienda López de Haro|Tinto de Rioja|Tempranillo, Graciano, Garnacha|12.39|3.7016501|3.5096092|1.6990554|3.774441|869|4.0|white
Vinicola de Castilla Guadianeja Paraje Alto Hungrao Tempranillo 2021|Guadianeja Paraje Alto Hungrao Tempranillo|2021|La Mancha|Vinicola de Castilla|Tempranillo|Tempranillo|9.9|2.855|3.9450002|2.25|3.5875|117|4.0|white
Altún Tempranillo 2022|Tempranillo|2022|Rioja|Altún|Tinto de Rioja|Tempranillo, Graciano, Garnacha|11.15|3.025385|3.5186985|2.2857988|3.0825446|116|4.0|white
Borsao Bodegas Crianza (Selección Crianza) 2019|Crianza (Selección Crianza)|2019|Campo de Borja|Borsao Bodegas|Tinto|Grenache., Tempranillo|9.85|3.095327|3.9274979|1.775137|3.1114926|4711|3.9|white
Muga El Andén de la Estación Crianza 2021|El Andén de la Estación Crianza|2021|Rioja|Muga|Tinto de Rioja|Tempranillo, Graciano, Garnacha|11.2|3.4573333|3.6312287|1.9132682|3.60016|5543|3.9|white
Daterra Viticultores Casas de Enriba 2019|Casas de Enriba|2019|Ribeira Sacra|Daterra Viticultores|Mencía|Mencía|18.2|3.5034225|3.489396|1.7481343|2.714886|316|3.9|white
Viñas del Cénit Vía Cenit 2018|Vía Cenit|2018|Tierra del Vino de Zamora|Viñas del Cénit|Tempranillo|Tempranillo|18.95|2.7837894|4.21133|2.0538905|3.510189|1379|3.9|white
Vinos del Panorámico Tinto 2018|Tinto|2018|Rioja|Vinos del Panorámico|Tinto de Rioja|Tempranillo, Graciano, Garnacha|15.9|3.4154477|3.2500505|1.7981588|3.3150823|356|4.0|white
Bodega Juan Carlos Sancha Ad Libitum Maturana Tinta 2020|Ad Libitum Maturana Tinta|2020|Rioja|Bodega Juan Carlos Sancha|Tinto de Rioja|Tempranillo, Graciano, Garnacha|9.9|3.6828578|3.6516004|1.5592961|3.854629|1557|3.8|white
Juan Gil Albacea Monastrell Jumilla 2020|Albacea Monastrell Jumilla|2020|Jumilla|Juan Gil|Monastrell|Monastrell|12.95|3.4079862|3.6397905|1.8271486|4.0104384|1309|3.8|white
Pardas Collita Roja 2015|Collita Roja|2015|Penedès|Pardas|Tinto|Grenache., Tempranillo|22.51|3.6182399|3.782588|1.4270233|3.3180845|561|3.8|white
Mas de Subirà Criança 2019|Criança|2019|Priorato|Mas de Subirà|Tinto de Priorat|Shiraz/Syrah, Cabernet Sauvignon, Grenache., Carignan|25.2|3.2982268|4.65117|1.6505911|3.2659605|2258|3.9|white
La Vizcaína El Rapolao (Lomas de Valtuille) 2021|El Rapolao (Lomas de Valtuille)|2021|Bierzo|La Vizcaína|Mencía|Mencía|22.35|3.8821132|3.3924277|1.5930413|3.0856736|2589|4.0|white
